GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,0,89,1,10,0,20,1,8,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,5,258,2,13,1,69,2,13,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,27,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,29,25,8,0,5,10,6,5,2,5
parking-system,com.parkit.parkingsystem.model,Ticket,38,45,0,0,8,19,1,13,1,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,34,0,0,0,4,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,23,230,2,2,5,57,2,6,0,6
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,18,144,3,3,5,38,3,5,0,5
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,115,78,12,4,33,16,13,5,5,5
